"sample","virus","uniquely_mapped_reads","mismatch_rate_per_base"
"SRR22753429","HHV7","0","-nan%"
"SRR22753429","HSV1_KOS","2","7.04%"
"SRR22753429","HSV2_StrainG","1","8.64%"
"SRR22753429","KSHV","0","-nan%"
"SRR22753429","VZV_Ellen","0","-nan%"
"SRR22753430","combined_herpes_viruses","0","-nan%"
"SRR22753430","EBV","0","-nan%"
"SRR22753430","HCMV","0","-nan%"
"SRR22753430","HHV6B","0","-nan%"
"SRR22753430","HHV7","0","-nan%"
"SRR22753430","HSV1_KOS","3","2.96%"
"SRR22753430","HSV2_StrainG","1","5.26%"
"SRR22753430","KSHV","2","9.93%"
"SRR22753430","VZV_Ellen","0","-nan%"
"SRR22753431","combined_herpes_viruses","0","-nan%"
"SRR22753431","EBV","0","-nan%"
"SRR22753431","HCMV","0","-nan%"
"SRR22753431","HHV6B","0","-nan%"
"SRR22753431","HHV7","0","-nan%"
"SRR22753431","HSV1_KOS","1","1.41%"
"SRR22753431","HSV2_StrainG","0","-nan%"
"SRR22753431","KSHV","3","7.33%"
"SRR22753431","VZV_Ellen","0","-nan%"
"SRR22753432","combined_herpes_viruses","0","-nan%"
"SRR22753432","EBV","0","-nan%"
"SRR22753432","HCMV","0","-nan%"
"SRR22753432","HHV6B","0","-nan%"
"SRR22753432","HHV7","0","-nan%"
"SRR22753432","HSV1_KOS","3","4.09%"
